algorithm,strategy,type,num_users,num_trans,mal_percent,success_rate,execution_time
WhatsTrust,COLLECTIVE,Pure,100,1000,20,97.125,285.043
eigen,COLLECTIVE,Pure,100,1000,20,94,0.889
eigen,COLLECTIVE,Pure,100,1000,40,95,2.425
eigen,COLLECTIVE,Pure,100,1000,60,100,4.286
eigen,COLLECTIVE,Pure,100,1500,20,97.50415973,1.05
eigen,COLLECTIVE,Pure,100,1500,40,89.75770925,2.961
eigen,COLLECTIVE,Pure,100,1500,60,96.22331691,5.673
eigen,COLLECTIVE,Pure,100,2000,20,97.0384373,1.342
eigen,COLLECTIVE,Pure,100,2000,40,89.26174497,3.671
eigen,COLLECTIVE,Pure,100,2000,60,91.78743961,7.241
eigen,COLLECTIVE,Pure,100,2500,20,99.75247525,2.165
eigen,COLLECTIVE,Pure,100,2500,40,95.87000677,4.877
eigen,COLLECTIVE,Pure,100,2500,60,95.2952953,9.034
eigen,COLLECTIVE,Pure,100,3000,20,96.66666667,2.165
eigen,COLLECTIVE,Pure,100,3000,40,98.83073497,5.445
eigen,COLLECTIVE,Pure,100,3000,60,96.92435578,11.784
eigen,COLLECTIVE,Pure,100,3500,20,99.71003987,2.616
eigen,COLLECTIVE,Pure,100,3500,40,94.74452555,7.223
eigen,COLLECTIVE,Pure,100,3500,60,86.76258993,16.829
eigen,COLLECTIVE,Pure,100,4000,20,93.66065879,2.451
eigen,COLLECTIVE,Pure,100,4000,40,95.55646148,7.425
eigen,COLLECTIVE,Pure,100,4000,60,85.95611285,14.793
eigen,COLLECTIVE,Pure,200,1000,20,92.41466498,4.082
eigen,COLLECTIVE,Pure,200,1000,40,93.92,12.05
eigen,COLLECTIVE,Pure,200,1000,60,88.44221106,26.091
eigen,COLLECTIVE,Pure,200,1500,20,89.24640135,5.726
eigen,COLLECTIVE,Pure,200,1500,40,98.26388889,19.537
eigen,COLLECTIVE,Pure,200,1500,60,87.56388416,40.139
eigen,COLLECTIVE,Pure,200,2000,20,96.1704756,7.07
eigen,COLLECTIVE,Pure,200,2000,40,95.3125,23.724
eigen,COLLECTIVE,Pure,200,2000,60,93.11594203,52.386
eigen,COLLECTIVE,Pure,200,2500,20,96.1654894,9.856
eigen,COLLECTIVE,Pure,200,2500,40,95.40540541,34.029
eigen,COLLECTIVE,Pure,200,2500,60,88.0539499,195.307
eigen,COLLECTIVE,Pure,200,3000,20,99.62390305,12.277
eigen,COLLECTIVE,Pure,200,3000,40,96.54415798,37.217
eigen,COLLECTIVE,Pure,200,3000,60,83.99311532,130.204
eigen,COLLECTIVE,Pure,200,3500,20,99.60502693,13.227
eigen,COLLECTIVE,Pure,200,3500,40,93.99615754,44.299
eigen,COLLECTIVE,Pure,200,3500,60,92.76504298,96.626
eigen,COLLECTIVE,Pure,200,4000,20,95.65217391,14.774
eigen,COLLECTIVE,Pure,200,4000,40,87.90255987,49.753
eigen,COLLECTIVE,Pure,200,4000,60,87.96758105,176.857
eigen,COLLECTIVE,Pure,300,1000,20,96.16336634,12.538
eigen,COLLECTIVE,Pure,300,1000,40,92.89428076,47.066
eigen,COLLECTIVE,Pure,300,1000,60,98.29268293,97.535
eigen,COLLECTIVE,Pure,300,1500,20,90.0589722,20.412
eigen,COLLECTIVE,Pure,300,1500,40,95.75418994,67.548
eigen,COLLECTIVE,Pure,300,1500,60,94.17637271,177.237
eigen,COLLECTIVE,Pure,300,2000,20,99.87523394,26.119
eigen,COLLECTIVE,Pure,300,2000,40,90.29535865,90.808
eigen,COLLECTIVE,Pure,300,2000,60,86.61311914,207.274
eigen,COLLECTIVE,Pure,300,2500,20,82.43858053,16.133
eigen,COLLECTIVE,Pure,300,2500,40,95.73894283,51.881
eigen,COLLECTIVE,Pure,300,2500,60,90.3030303,397.398
eigen,COLLECTIVE,Pure,300,3000,20,93.3954276,43.385
eigen,COLLECTIVE,Pure,300,3000,40,96.41109299,149.588
eigen,COLLECTIVE,Pure,300,3000,60,91.42857143,448.266
eigen,COLLECTIVE,Pure,300,3500,20,95.10539478,63.96
eigen,COLLECTIVE,Pure,300,3500,40,93.49056604,263.052
eigen,COLLECTIVE,Pure,300,3500,60,93.44380403,396.45
eigen,COLLECTIVE,Pure,300,4000,20,97.86499215,53.864
eigen,COLLECTIVE,Pure,300,4000,40,97.55693582,261.957
eigen,COLLECTIVE,Pure,300,4000,60,91.73859433,489.878
WhatsTrust,COLLECTIVE,Pure,100,1000,20,96,525.784
WhatsTrust,COLLECTIVE,Pure,100,1000,40,95.68965517,2352.428
WhatsTrust,COLLECTIVE,Pure,100,1000,60,97,256.999
WhatsTrust,COLLECTIVE,Pure,100,1000,20,96.375,382.277
WhatsTrust,COLLECTIVE,Pure,100,1000,40,95.68965517,1864.741
WhatsTrust,COLLECTIVE,Pure,100,1000,60,95.3002611,5659.617
